date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:01	125/125	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Dec%202022%2006:07:01%20GMT	https://swalapatra.com/robots.txt		(from )
14:07:01	215257/215257	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2006:07:02%20GMT	https://swalapatra.com/mega_wahyu/?to=Krisna	C:/My%20Web%20Sites/mepandess/swalapatra.com/mega_wahyu/indexda99.html	(from )
14:07:02	118632/118632	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2023:10:20%20GMT	https://swalapatra.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min.css?ver=1.11.16	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min8392.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:02	26702/26702	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2003:07:24%20GMT	https://swalapatra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=1.0	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5152.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:02	59344/59344	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2003:07:24%20GMT	https://swalapatra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.0	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5152.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:02	9503/9503	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20May%202019%2023:21:46%20GMT	https://swalapatra.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min.css?ver=2.4.0	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min8d5a.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:03	215239/215239	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2006:07:03%20GMT	https://swalapatra.com/mega_wahyu/	C:/My%20Web%20Sites/mepandess/swalapatra.com/mega_wahyu/index.html	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:03	304/304	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Nov%202022%2015:23:33%20GMT	https://swalapatra.com/wp-content/uploads/useanyfont/uaf.css?ver=1667575413	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/uploads/useanyfont/uafd28d.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:03	8701/8701	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2007:40:54%20GMT	https://swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-centered-timeline.min.css?ver=6.1.1	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-centered-timeline.min6a4d.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:03	6232/6232	---M-Z	200	added ('OK')	application/rss+xml	etag:%22006056f9b355cd4005ccb641566fccc0%22	https://swalapatra.com/mega_wahyu/feed/	C:/My%20Web%20Sites/mepandess/swalapatra.com/mega_wahyu/feed/index.html	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:03	2746/2746	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2007:40:54%20GMT	https://swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-horizontal-styles.min.css?ver=6.1.1	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-horizontal-styles.min6a4d.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	2264/2264	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2007:40:54%20GMT	https://swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-fontello.css?ver=6.1.1	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/weddingpress/assets/css/wdp-fontello6a4d.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	6236/6236	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2007:40:54%20GMT	https://swalapatra.com/wp-content/plugins/weddingpress/assets/css/exad-styles.min.css?ver=6.1.1	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/weddingpress/assets/css/exad-styles.min6a4d.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	42596/42596	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2007:40:53%20GMT	https://swalapatra.com/wp-content/plugins/weddingpress/addons/comment-kit//css/wdp_style.css?ver=2.7.6	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/weddingpress/addons/comment-kit/css/wdp_styled537.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	5623/5623	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2018:52:48%20GMT	https://swalapatra.com/wp-content/themes/twentytwentytwo/style.css?ver=1.3	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/themes/twentytwentytwo/style4e44.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	19279/19279	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jul%202022%2017:11:38%20GMT	https://swalapatra.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:04	103736/103736	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Nov%202022%2006:59:50%20GMT	https://swalapatra.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:05	177272/177272	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202022%2006:57:07%20GMT	https://swalapatra.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-25-at-14.56.41.jpeg	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-25-at-14.56.41.jpg	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:05	17346/17346	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202022%2014:09:35%20GMT	https://swalapatra.com/wp-content/uploads/2022/08/Ornament-Green-Leave-right-1.png	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/uploads/2022/08/Ornament-Green-Leave-right-1.png	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
14:07:05	278704/278704	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2014:38:34%20GMT	https://swalapatra.com/wp-content/uploads/2022/08/GKP_0045.jpg	C:/My%20Web%20Sites/mepandess/swalapatra.com/wp-content/uploads/2022/08/GKP_0045.jpg	(from https://swalapatra.com/mega_wahyu/?to=Krisna)
